name,price,screen_size,resolution,refresh_rate,response_time,panel_type,aspect_ratio,image,skip
LG UltraGear,219,24,1920,1080,144,1,TN,thumbnails/monitor_lg_ultragear.jpg,0
BenQ MOBIUZ EX240,227.97,23.8,1920,1080,165,2,IPS,,0
Lenovo Legion R45w-30,,44.5,5120,1440,170,VA,VA,,0
BenQ PD2705U,549.99,27,3840,2160,60,5,IPS,,0
LG UltraGear,399,27,1920,1080,240,1,IPS,thumbnails/monitor_lg_ultragear.jpg,0
Lenovo D22e-20,125.99,21.5,1920,1080,75,4,VA,,0
HP 738pu,1299.99,37.5,3840,1600,60,5,IPS,,0
LG 34WR50QC-B,349.99,34,3440,1440,100,5,VA,,0
Asus VY249HE,109,23.8,1920,1080,75,IPS,IPS,,0
AOC G2460VQ6,,24,1920,1080,75,1,TN,,0
HP 27es,,27,1920,1080,60,7,IPS,,0
Samsung Odyssey G3 F27G35TF,289.99,27,1920,1080,144,VA,VA,,0
Gigabyte S55U,1335.18,54.6,3840,2160,120,2,VA,,0
Cooler Master Tempest GZ2711,766.6,27,2560,1440,240,0.03,OLED,,0
Corsair XENEON ​32UHD144-A,,32,3840,2160,144,12,IPS,,0
INNOCN 49C1R,874.99,49,5120,1440,120,VA,VA,,0
MSI PRO MP2412C,,23.6,1920,1080,100,4,VA,,0
Gigabyte G27QC A,,27,2560,1440,165,VA,VA,,0
LG 27GQ50F-B,194.99,27,1920,1080,165,5,VA,,0
BenQ GW2480,,23.8,1920,1080,60,5,IPS,,0
Acer Predator XB272 bmiprz,,27,1920,1080,240,1,TN,,0
Dell U2518D,,25,2560,1440,60,5,IPS,,0
LG 27GP700-B,226.99,27,1920,1080,240,1,IPS,,0
Dell S2722QC,369.99,27,3840,2160,60,4,IPS,,0
LG 34WP60C-B,349.99,34,3440,1440,160,5,VA,,0
MSI Optix G273QPF,258.88,27,2560,1440,165,1,IPS,,0
Asus ROG Strix XG248Q,279,23.8,1920,1080,240,1,TN,,0
BenQ XL2411,,24,1920,1080,144,1,TN,,0
Dell U2417H,,24,1920,1080,60,6,IPS,,0
Asus ROG SWIFT PG348Q,,34,3440,1440,100,5,IPS,,0
LG 24GN600-B,199.99,24,1920,1080,144,1,IPS,,0
Samsung LC24FG73,,23.5,1920,1080,144,1,VA,,0
Philips 243V7QJAB,142.5,23.8,1920,1080,60,4,IPS,,0
MSI Optix G241VC,,23.6,1920,1080,75,1,VA,,0
Asus TUF Gaming VG24VQ,,23.6,1920,1080,144,VA,VA,,0
MSI Optix MAG274QRX,,27,2560,1440,240,1,IPS,,0
Acer KA242Y Abi,,23.8,1920,1080,75,VA,VA,,0
Dell Alienware AW2524H,,24.5,1920,1080,500,0.5,IPS,,0
Dell Alienware AW3821DW,,37.5,3840,1600,144,1,IPS,,0
AOC AGON AG256FS,,24.5,1920,1080,390,1,IPS,,0
LG 34WQ500-B,209.99,34,2560,1080,100,5,IPS,,0
Asus ROG Strix XG256Q,173.13,24.5,1920,1080,180,1,IPS,,0
Asus VA329HE,169.99,31.5,1920,1080,75,5,IPS,,0
ViewSonic OMNI VX2428,,23.8,1920,1080,165,,IPS,,0
Samsung SJ55W,328,34.1,3440,1440,75,4,VA,,0
LG 34GK950G-B,,34,3440,1440,120,1,IPS,,0
Dell S2422HG,,23.6,1920,1080,165,4,VA,,0
Gigabyte M27Q (rev. 2.0),,27,2560,1440,170,IPS,IPS,,0
Asus ROG SWIFT PG278QR,,27,2560,1440,165,1,TN,,0
AOC G2590FX,,24.5,1920,1080,144,1,TN,,0
Acer ED270R S3,181.98,27,1920,1080,180,VA,VA,,0
Lenovo G27q-30,,27,2560,1440,165,VA,VA,,0
Samsung LS27A804UJNXGO,219.99,27,3840,2160,60,5,IPS,,0
Asus ROG Strix XG249CM,279,23.8,1920,1080,270,1,IPS,,0
LG 32UN650-W,393,31.5,3840,2160,60,5,IPS,,0
Pixio PX277PRO,,27,2560,1440,165,1,IPS,,0
ViewSonic VX2728J,179.99,27,1920,1080,180,2.5,IPS,,0
MSI G321CU,449.99,31.5,3840,2160,144,VA,VA,,0
LG 27QN600-B,249.99,27,2560,1440,75,5,IPS,,0
Acer XV252Q FBMIIPRX,,24.5,1920,1080,390,IPS,IPS,,0
BenQ GL2460HM,210,24,1920,1080,60,2,TN,,0
Samsung CF390,169.99,27,1920,1080,60,,VA,thumbnails/monitor_samsung_cf390.jpg,0
Asus ROG STRIX XG32VQR,,32,2560,1440,144,4,VA,,0
MSI Optix G32CQ4,,31.5,2560,1440,165,4,VA,,0
Asus VG259QR,,24.5,1920,1080,165,IPS,IPS,,0
MSI Optix MAG161V,,15.6,1920,1080,60,IPS,IPS,,0
Acer Nitro XZ6,,29.5,2560,1080,200,VA,VA,,0
Asus TUF Gaming VG248Q1B,,24,1920,1080,165,1,TN,,0
Lenovo G27-20,281.92,27,1920,1080,144,IPS,IPS,,0
Cooler Master Tempest GP2711,332.98,27,2560,1440,165,4,QD-VA,,0
Asus ProArt Display PA329CRV,579.99,31.5,3840,2160,60,5,IPS,,0
Acer Vero V7 V227Q E3,112.64,21.5,1920,1080,100,4,IPS,,0
Gigabyte GS32QC SA,299.02,31.5,2560,1440,170,,16:9,,0
Pixio PX248 Wave,159.99,23.8,1920,1080,200,1,IPS,thumbnails/monitor_pixio_px248_wave.jpg,0
Asus ProArt Display PA247CV,195.99,23.8,1920,1080,75,5,IPS,,0
Gigabyte GS27F,346.94,27,1920,1080,170,IPS,IPS,,0
Pixio PX248 Wave,159.99,23.8,1920,1080,200,1,IPS,thumbnails/monitor_pixio_px248_wave.jpg,0
Asus ProArt Display PA328CGV,549,32,2560,1440,165,5,IPS,,0
Samsung S24F350FH,,23.5,1920,1080,60,4,PLS,,0
HP Omen 27,,27,2560,1440,165,1,TN,,0
iiyama G-MASTER RED EAGLE,,27,2560,1440,144,1,TN,,0
Acer Nitro VG270K,,27,3840,2160,60,4,IPS,,0
Asus ROG SWIFT PG35VQ,,35,3440,1440,200,2,VA,,0
Razer RAPTOR 27,,27,2560,1440,144,4,IPS,thumbnails/monitor_razer_raptor_27.jpg,0
MSI Optix MAG251RX,,24.5,1920,1080,240,1,IPS,,0
Acer XB240H,,24,1920,1080,144,TN,TN,,0
HP Omen 32c,319.99,31.5,2560,1440,165,1,VA,,0
AOC 24G2SAE/BK,,23.8,1920,1080,165,VA,VA,,0
Acer Nitro XV275U P3,,27,2560,1440,170,2,Mini LED VA,,0
LG UltraGear 27GR95UM-B,899.99,27,3840,2160,160,1,Mini LED IPS,,0
AOC U27B3AF,,27,3840,2160,60,4,IPS,,0
LG 29WP60G-B,206.23,29,2560,1080,75,5,IPS,,0
Gigabyte G34WQCP,424.99,34,3440,1440,180,VA,VA,,0
LG 32GN63T-B,299,32,2560,1440,165,5,VA,,0
Dell G2422HS,179.99,23.8,1920,1080,165,1,IPS,,0
AOC 27B2H,,27,1920,1080,75,7,IPS,,0
Gigabyte G27FC,,27,1920,1080,165,VA,VA,,0
Dell P2319H,269.89,23,1920,1080,60,5,IPS,,0
Acer H236HLbid,,23,1920,1080,60,5,IPS,,0
Dell P2815Q,,28,3840,2160,30,5,TN,,0
ViewSonic XG2401,,23.6,1920,1080,144,1,TN,,0
LG 25UM58-P,,25,2560,1080,75,5,IPS,,0
Samsung LC27F396FHNXZA,,27,1920,1080,60,4,VA,,0
Asus TUF GAMING VG32VQ,,31.5,2560,1440,144,1,VA,,0
Asus TUF Gaming VG258QM,,24.5,1920,1080,280,0.5,TN,,0
MSI Optix G27C5,,27,1920,1080,165,VA,VA,,0
AOC C24G1A,,23.6,1920,1080,165,VA,VA,,0
AOC 27G15,,27,1920,1080,180,VA,VA,,0
Philips Evnia 27M1N3200VL,,31.5,1920,1080,165,4,VA,,0
LC-Power M27-QHD-144-C-V2,,27,2560,1440,144,4,VA,,0
Acer Nitro KG1 KG251Q P3biip,,24.5,1920,1080,180,VA,VA,,0
Samsung M70B,449.99,43,3840,2160,60,4,VA,,0
Acer EI272UR Pbmiiipx,259.99,27,2560,1440,144,4,VA,,0
LG 35WN65C-B,399,35,3440,1440,100,5,VA,,0
Asus TUF Gaming VG27BQ,279.99,27,2560,1440,165,0.4,TN,,0
ViewEra V157TP,360.98,15,1024,768,12,12,4:3,,0
Asus VP228HE,159,21.5,1920,1080,60,1,TN,,0
LG 27UP850-W,500,27,3840,2160,60,5,IPS,,0
Samsung CRG5,189.49,24,1920,1080,144,4,VA,,0
Samsung Odyssey G5,,34,3440,1440,165,,VA,thumbnails/monitor_samsung_odyssey_g5.jpg,0
MSI Optix G32C4W,205,31.5,1920,1080,165,VA,VA,,0
MSI Optix MAG271C,,27,1920,1080,144,1,VA,,0
HP EliteDisplay E233,,23,1920,1080,60,,IPS,,0
ViewSonic ELITE XG270,,27,1920,1080,240,1,IPS,,0
Acer XB273U GXbmiipruzx,,27,2560,1440,240,1,IPS,,0
HP X24ih,,23.8,1920,1080,144,1,IPS,,0
MSI Optix G2412,,23.8,1920,1080,170,,IPS,,0
Dell UltraSharp U4323QE,999.99,42.5,3840,2160,60,5,IPS,,0
LG 34BK95U-W,749.99,34,5120,2160,75,IPS,IPS,,0
Asus VA27EHE,146.95,27,1920,1080,75,IPS,IPS,,0
Eizo ColorEdge ‎CG2700X,3394,27,3840,2160,60,13,IPS,,0
BenQ MOBIUZ EX2510,379.99,24.5,1920,1080,144,2,IPS,,0
AOPEN UM.UW1AA.P01,108,23.6,1920,1080,144,VA,VA,,0
Samsung S39C,269.99,32,1920,1080,75,4,VA,,0
LG 24MP400-B,152,24,1920,1080,75,5,IPS,,0
Dell P2222H,269.99,21.5,1920,1080,60,5,IPS,,0
Acer K222HQL,124.99,21.5,1920,1080,60,5,TN,,0
BenQ XL2546,,24.5,1920,1080,240,1,TN,,0
Dell Alienware AW2521H,349.97,24.5,1920,1080,360,1,IPS,,0
Asus PB278Q,,27,2560,1440,60,5,IPS,,0
BenQ GL2450HM,,24,1920,1080,60,2,TN,,0
Dell AW3418DW,,34.1,3440,1440,120,4,IPS,,0
AOC CQ32G1,,31.5,2560,1440,144,1,VA,,0
HP 24f,,23.8,1920,1080,60,5,IPS,,0
Gigabyte M32Q,,31.5,2560,1440,170,1,IPS,,0
Acer EK240Y Cbi,,23.8,1920,1080,75,VA,VA,,0
Samsung Odyssey G65B,,32,2560,1440,240,1,VA,thumbnails/monitor_samsung_odyssey_g65b.jpg,0
MSI G321Q,,31.5,2560,1440,170,IPS,IPS,,0
MSI Modern MD2412P,109.99,24,1920,1080,100,4,IPS,,0
Acer AOPEN ‎34HC5CUR Pbmiiphx,,34,3440,1440,144,VA,VA,,0
Gigabyte GS34WQC,,34,3440,1440,135,VA,VA,,0
Planar PLL2250MW,79.56,21.5,1920,1080,60,12.5,IPS,,0
Asus ROG Strix XG259CM,309,24.5,1920,1080,240,1,IPS,,0
Asus TUF Gaming VG24VQ1B,,23.8,1920,1080,165,VA,VA,,0
Asus VG289Q1A,362,28,3840,2160,60,5,IPS,,0
Samsung Odyssey G9,,49,5120,1440,240,1,VA,thumbnails/monitor_samsung_odyssey_g9.jpg,0
AOC CQ27G2U/BK,,27,2560,1440,144,VA,VA,,0
HP M27fw,186.99,27,1920,1080,75,5,IPS,,0
Dell U2414H,,23.8,1920,1080,60,8,IPS,,0
Samsung S24D300H,,24,1920,1080,60,2,TN,,0
Acer VG270U Pbmiipx,,27,2560,1440,144,1,IPS,,0
Sceptre C248B-144RN,,24,1920,1080,144,3,VA,,0
Asus VG258QR,,24.5,1920,1080,165,0.5,TN,,0
AOC 27G2U/BK,,27,1920,1080,144,IPS,IPS,,0
Acer SA240Y Abi,,23.8,1920,1080,75,4,IPS,,0
Acer VG220Q bmiix,,21.5,1920,1080,75,IPS,IPS,,0
Samsung CF391,,27,1920,1080,4,4,VA,,0
Gigabyte AORUS FI32Q-X,,32,2560,1440,270,1,IPS,,0
HP HyperX Armada,,24.5,1920,1080,240,1,IPS,,0
Philips 27M2C5501/01,,27,2560,1440,180,1,VA,,0
BenQ MOBIUZ EX321UX,1099.99,31.5,3840,2160,144,1,Mini LED IPS,,0
AOC AGON Pro AG456UCZD,,44.5,3440,1440,240,0.03,OLED,,0
BenQ ZOWIE XL2746K,549,27,1920,1080,240,TN,TN,,0
BenQ MOBIUZ EX2710U,699.99,27,3840,2160,144,1,IPS,,0
HP 22cwa,210,21.5,1920,1080,60,7,IPS,,0
Acer XF240H,664.99,24,1920,1080,144,1,TN,,0
Samsung Odyssey G7 T1 Faker Edition,,32,2560,1440,240,1,VA,,0
Dell UltraSharp U2722DE,429.89,27,2560,1440,60,IPS,IPS,,0
Dell E2223HN,122.99,21.4,1920,1080,60,5,VA,,0
Asus ROG Strix XG49WCR,,49,5120,1440,165,VA,VA,,0
LG UltraFine,794.99,27,3840,2160,60,5,IPS,,0
Apple LED Cinema,,27,2560,1440,12,12,IPS,,0
MSI Optix MAG272CRX,,27,1920,1080,240,1,VA,,0
Acer VG240Y Sbmiipx,,23.8,1920,1080,165,2,IPS,,0
Acer Nitro XV273K Pbmiipphzx,389,27,3840,2160,144,1,IPS,,0
Asus ROG Strix XG43UQ,,43,3840,2160,144,VA,VA,,0
Cooler Master TEMPEST GP27U,729.95,27,3840,2160,160,IPS,IPS,,0
Pixio PX27U Wave,399.99,27,3840,2160,160,1,IPS,thumbnails/monitor_pixio_px27u_wave.jpg,0
Asus TUF Gaming VG34VQEL1A,,34,3440,1440,100,VA,VA,,0
AOC AGON AG405UXC,,40,3440,1440,144,4,IPS,,0
INNOCN 27A1S,,27,2560,1440,250,0.03,OLED,,0
Asus MG278Q,596.88,27,2560,1440,144,1,TN,,0
Sony INZONE M9,898,27,3840,2160,144,IPS,IPS,,0
MSI Optix G272,,27,1920,1080,144,IPS,IPS,,0
Dell U2415,,24.1,1920,1200,60,6,IPS,,0
Dell U3415W,1599.99,34,3440,1440,60,5,IPS,,0
BenQ PD2705Q,369.99,27,2560,1440,60,5,IPS,,0
Asus ROG Strix XG309CM,,29.5,2560,1080,220,1,IPS,,0
LG 24MK430H-B,119,23.8,1920,1080,75,5,IPS,,0
LG 32GQ950-B,1299.99,31.5,3840,2160,144,1,IPS,,0
AOC Q27V3,199.99,27,2560,1440,75,5,IPS,,0
ViewSonic XG2402 OMNI,,24,1920,1080,144,1,TN,,0
LG 24MK600M-B,189,24,1920,1080,75,5,IPS,,0
HP 22fw,,21.5,1920,1080,60,5,IPS,,0
Dell Alienware AW5520QF,,55,3840,2160,120,0.5,OLED,,0
Acer KA272 bi,,27,1920,1080,75,IPS,IPS,,0
Acer KG241Q Sbiip,,23.6,1920,1080,165,1,TN,,0
Acer ED271U Xbmiipx,,27,2560,1440,240,VA,VA,,0
MSI PRO MP221,,21.5,1920,1080,60,TN,TN,,0
AOC AG493UCX2,749.99,48.8,5120,1440,165,4,VA,,0
Asus ProArt Display,1899,32,3840,2160,60,5,Mini LED IPS,,0
MSI PRO MP245G,89.99,23.8,1920,1080,100,4,IPS,,0
ViewSonic VA2715-2K-MHD,179.99,27,2560,1440,100,VA,VA,,0
Asus VP229Q,119,21.5,1920,1080,75,5,IPS,,0
LG 38WN95C-W,1494.99,38,3840,1600,144,1,IPS,,0
Dell UltraSharp U3425WE,819.99,34.1,3440,1440,120,5,IPS,,0
Samsung S30B,279.55,32,1920,1080,75,8,VA,,0
Acer XF270 M3biiph,203.98,27,1920,1080,180,,16:9,,0
Acer XF270H Bbmiiprx,498.88,27,1920,1080,144,TN,TN,,0
ViewSonic VA2447-MH,99.99,24,1920,1080,75,5,VA,,0
MSI Optix MAG272CQR,379.99,27,2560,1440,165,1,VA,,0
BenQ RL2455HM,,24,1920,1080,60,1,TN,,0
BenQ EX2780Q,,27,2560,1440,144,5,IPS,,0
Samsung S24R350,239,23.8,1920,1080,75,5,IPS,,0
HP L1506x,,15,1024,768,75,8,4:3,,0
Acer XG270HU,,27,2560,1440,144,1,TN,,0
Asus ROG SWIFT PG248Q,,24,1920,1080,180,1,TN,,0
Asus ROG Swift PG258Q,,24.5,1920,1080,240,1,TN,,0
Asus MG248QR,,24,1920,1080,144,1,TN,,0
Acer KG271 Cbmidpx,,27,1920,1080,144,1,TN,,0
Samsung C27JG56,,27,2560,1440,144,4,VA,,0
Dell P2219H,191.19,21.5,1920,1080,60,5,IPS,,0
Acer KG241 Sbmiipx,,24,1920,1080,120,TN,TN,,0
Acer XF273 Zbmiiprx,,27,1920,1080,240,IPS,IPS,,0
MSI Optix G24C6,,23.6,1920,1080,144,VA,VA,,0
INNOCN 27G1R Plus,,27,2560,1440,180,IPS,IPS,,0
LG 29WN600-W,227.75,29,2560,1080,75,5,IPS,,0
Sony INZONE M9 II,798,27,3840,2160,160,1,IPS,,0
Dell E2423H,115.99,23.8,1920,1080,60,5,VA,,0
MSI Modern MD272XPW,189.99,27,1920,1080,100,4,IPS,,0
ViewSonic VX4381-4K,569.99,43,3840,2160,3,3,VA,,0
Samsung CR500,147.94,26.9,1920,1080,60,4,VA,,0
Philips 243V7QJABF/00,147.94,23.8,1920,1080,75,4,IPS,,0
Sceptre E248W-19203S,88.96,23.8,1920,1080,75,3.5,VA,,0
Dell DHSE2417HGX,111.99,23.6,1920,1080,75,1,TN,,0
Gigabyte ‎G27FC A,229.99,27,1920,1080,170,VA,VA,,0
Dell SE2222H,,21.5,1920,1080,60,8,VA,,0
Lenovo Legion Y25g-30,609.99,24.5,1920,1080,360,IPS,IPS,,0
Sceptre E325W-2560AD,230.96,32,2560,1440,85,6,VA,,0
Dell P2417H,229,23.8,1920,1080,60,6,IPS,,0
MSI MAG ARTYMIS 324CP,315,31.5,1920,1080,165,VA,VA,,0
Sceptre E225W-1920,,22,1920,1080,60,5,TN,,0
Acer ED242QR Abidpx,221.14,23.6,1920,1080,144,4,VA,,0
AOC U34G3XM/EU,,34,3440,1440,144,VA,VA,,0
Samsung LC32F391FWNXZA,,32,1920,1080,60,4,VA,,0
iiyama G-MASTER BLACK HAWK,,27,1920,1080,75,1,TN,,0
MSI Optix G27C2,,27,1920,1080,144,1,VA,,0
Asus VP28UQG,,28,3840,2160,60,1,TN,,0
Samsung C27FG73,,27,1920,1080,144,1,VA,,0
Prism M27EQ,,27,2560,1440,165,1,TN,,0
BenQ GL2780,,27,1920,1080,75,1,TN,,0
Westinghouse WM32DX9019,,31.5,2560,1440,144,VA,VA,,0
Lenovo 66A1GCCBUS,,34,3440,1440,144,VA,VA,,0
NZXT Canvas 27Q,,27,2560,1440,165,,IPS,,0
ViewSonic ELITE XG271QG,,27,2560,1440,240,IPS,IPS,,0
Samsung ViewFinity S70A,,31.5,3840,2160,60,5,VA,,0
Samsung S32BG700EU,,32,3840,2160,144,1,IPS,,0
MSI PRO MP243XP,131.44,23.8,1920,1080,100,IPS,IPS,,0
MSI Modern MD271UL,395,27,3840,2160,60,4,IPS,,0
MSI PRO MP275PG,119.99,27,1920,1080,100,4,IPS,,0
LG UltraGear 38GN950-B,,38,3840,1600,160,1,IPS,,0
Acer EB321HQ Abi,199.99,31.5,1920,1080,60,4,IPS,,0
LG 27GK750F-B,,27,1920,1080,240,1,TN,,0
Asus VZ279HE,179.99,27,1920,1080,60,5,IPS,,0
MSI PRO MP273,196.99,27,1920,1080,75,5,IPS,,0
Dell G3223D,,31.5,2560,1440,165,1,IPS,,0
Acer V206HQL A,111.31,19.5,1600,900,60,TN,TN,,0
AOC AGON Pro AG344UXM,,34,3440,1440,170,1,Mini LED IPS,,0
iiyama G2445HSU-B1,,24,1920,1080,100,IPS,IPS,,0
Acer Nitro VG272U V,,27,2560,1440,170,IPS,IPS,,0
Dell P1913,,19,1400,900,60,5,,,0
Dell P2213,180.63,22,1680,1050,60,5,16:10,,0
AOC G2260VWQ6,,21.5,1920,1080,75,1,TN,,0
MSI Optix MAG341CQ,,34,3440,1440,100,8,VA,,0
MSI Optix MAG321CQR,,31.5,2560,1440,144,1,VA,,0
Kogan KAMN27CQ1LA,,27,2560,1440,144,5,VA,,0
AOC AGON AG251FZ2,,25,1920,1080,240,1,TN,,0
Sceptre C355W-3440UN,,35,3440,1440,100,4,VA,,0
Philips 242E1GSJ,,23.8,1920,1080,144,4,VA,,0
Dell S2722DGM,,27,2560,1440,165,2,VA,thumbnails/monitor_dell_s2722dgm.jpg,0
HP X24c,,23.6,1920,1080,144,4,VA,,0
Acer Predator XB323U GP,,32,2560,1440,170,1,IPS,,0
Pixio PX248 Wave,159.99,23.8,1920,1080,200,1,IPS,thumbnails/monitor_pixio_px248_wave.jpg,0
Gigabyte AORUS FI32U,,31.5,3840,2160,144,1,IPS,,0
Asus TUF GAMING VG27WQ,882,27,2560,1440,165,VA,VA,,0
Cooler Master Tempest GP27Q,435,27,2560,1440,165,IPS,IPS,,0
Philips 322E1C,206.23,31.5,1920,1080,75,4,VA,,0
Asus ROG Strix XG32VC,,31.5,2560,1440,170,VA,VA,,0
MSI PRO MP242A E2,109.99,23.8,1920,1080,120,4,IPS,,0
Acer XB281HK bmiprz,2430.36,28,3840,2160,60,1,TN,,0
AOC 24G2SP/BK,,23.8,1920,1080,165,IPS,IPS,,0
MSI Optix MAG301CR2,264.99,29.5,2560,1080,200,VA,VA,,0
Acer KB242Y Abi,129.99,23.8,1920,1080,75,VA,VA,,0
Samsung Odyssey Neo G8,699.99,32,3840,2160,240,1,VA,thumbnails/monitor_samsung_odyssey_neo_g8.jpg,0
MSI Optix G27C4 E2,249.99,27,1920,1080,170,VA,VA,,0
AOC E2270SWHN,,21.5,1920,1080,60,5,TN,,0
Asus ROG Strix XG258Q,,24.5,1920,1080,240,1,TN,,0
Acer VG271 Pbmiipx,659.99,27,1920,1080,144,1,IPS,,0
Acer Nitro XZ272U Pbmiiphx,,27,2560,1440,165,4,VA,,0
Samsung Odyssey G55A,429.99,32,2560,1440,165,VA,VA,thumbnails/monitor_samsung_odyssey_g55a.jpg,0
Samsung M80C,612.9,32,3840,2160,60,4,VA,,0
Titan Army P2510G,,24.5,1920,1080,180,1,IPS,,0
Asus VS247H-P,,23.6,1920,1080,2,2,16:9,,0
BenQ GW2270,,21.5,1920,1080,60,5,VA,,0
Acer Predator XB241YU,,23.8,2560,1440,165,1,TN,,0
MSI Optix MAG24C,,23.6,1920,1080,144,1,VA,,0
AOC AGON AG275QZ,,27,2560,1440,270,1,IPS,,0
Lenovo G27q-20,,27,2560,1440,165,,IPS,,0
LG 28MQ750-C,759.54,28,2560,2880,60,5,Nano IPS,,0
LG 27BL55U-B,299,27,3840,2160,60,5,IPS,,0
Gigabyte M32QC-SA,324.99,31.5,2560,1440,170,VA,VA,,0
YEYIAN Odraz,169.99,32,3840,2160,60,4,IPS,thumbnails/monitor_yeyian_odraz.jpg,0
Acer ED273 Bbmiix,199.99,27,1920,1080,,VA,VA,,0
Dell S2721HN,408.49,27,1920,1080,75,4,IPS,,0
ViewSonic VX2718-PC-MHD,179.99,27,1920,1080,165,5,VA,,0
Samsung T45F,149.99,27,1920,1080,75,5,IPS,,0
Dell S2721DS,258,27,2560,1440,75,4,IPS,,0
LG 32QN600-B,387.9,32,2560,1440,75,5,IPS,,0
LG 27EP950,2999.99,27,3840,2160,60,1,OLED,,0
Dell P2217H,219,21.5,1920,1080,60,6,IPS,,0
Samsung UR59C,499.99,32,3840,2160,60,4,VA,,0
LG 32GN550-B,345,32,1920,1080,165,5,VA,,0
Samsung CR500,215,27,1920,1080,60,4,VA,,0
Acer K243Y,,23.8,1920,1080,75,IPS,IPS,,0
MSI Optix MPG321QRF-QD,,32,2560,1440,175,1,IPS,,0
MSI Optix 271CQP,672.94,27,2560,1440,165,VA,VA,,0
AOC AG241QX,,23.8,2560,1440,144,1,TN,,0
Dell D2719HGF,,27,1920,1080,144,2,TN,,0
Dell U2419H,,24,1920,1080,60,5,IPS,,0
BenQ Zowie RL2455S,,24,1920,1080,75,1,TN,,0
LG 34GL750-B,,34,2560,1080,144,5,IPS,,0
AOC 24G2S,,23.8,1920,1080,165,VA,VA,,0
Lenovo ThinkVision T22i-30,136.74,21.5,1920,1080,60,4,IPS,,0
HP HyperX Armada,,27,2560,1440,165,1,IPS,,0
LG 49WQ95C-W,1499.99,49,5120,1440,144,5,Nano IPS,,0
Acer EB321HQ Awi,169.99,31.5,1920,1080,60,4,IPS,,0
LG 27U631A-B,189.99,27,2560,1440,100,5,IPS,,0
ViewSonic VX3418-2KPC,319.99,34,3440,1440,,VA,VA,,0
Asus ProArt Display PA34VCNV,642.77,34.1,3440,1440,60,5,IPS,,0
Dell P2723D,299.99,27,2560,1440,60,IPS,IPS,,0
Corsair XENEON 32QHD240,699.99,32,2560,1440,240,5,IPS,,0
ViewSonic VA2409M,109.99,24,1920,1080,75,3,IPS,,0
BenQ PD3205U,699.99,31.5,3840,2160,60,5,IPS,,0
Samsung Odyssey Neo G70NC,,43,3840,2160,144,,Mini LED VA,thumbnails/monitor_samsung_odyssey_neo_g70nc.jpg,0
Acer XZ342CU S,362.99,34,3440,1440,165,VA,VA,,0
electriQ eiQ-34SUWD144FSHQ,,34,3440,1440,144,1,VA,,0
LG UltraFine 32UQ750-W,699.99,31.5,3840,2160,144,4,VA,,0
Dell U4919DW,1349.99,49,5120,1440,60,5,IPS,,0
Gigabyte AORUS FV43U,,43,3840,2160,144,VA,VA,,0
Dell U2720Q,949,27,3840,2160,60,5,IPS,,0
Samsung ViewFinity S65VC,699.99,34,3440,1440,100,5,VA,,0
iiyama GB2570HSU-B1,,24.5,1920,1080,165,IPS,IPS,,0
AOC AGON AG274QS,,27,2560,1440,300,IPS,IPS,,0
ViewSonic OMNI VX2728-2K,,27,2560,1440,165,IPS,IPS,,0
Dell U2410,,24,1920,1200,6,6,IPS,,0
Samsung S22D300HY,,21.5,1920,1080,60,5,TN,,0
BenQ XL2430T,,24,1920,1080,144,1,TN,,0
Asus MG279Q,,27,2560,1440,144,4,IPS,,0
Asus VC239H,,23,1920,1080,60,5,IPS,,0
Asus VP247H-P,,23.6,1920,1080,60,1,TN,,0
AOC AG251FZ,,24.5,1920,1080,240,1,TN,,0
Asus ROG SWIFT PG27UQ,,27,3840,2160,144,4,IPS,,0
AOC 24B1XHS,,23.8,1920,1080,60,7,IPS,,0
Samsung C24RG50,,23.5,1920,1080,144,4,VA,,0
Cooler Master GM34-CW,,34,3440,1440,144,VA,VA,,0
Asus TUF Gaming VG35VQ,,35,3440,1440,100,VA,VA,,0
VIOTEK GNV34DBE,,34,3440,1440,144,4,VA,,0
iiyama G-MASTER GB2560HSU-B1,,24.5,1920,1080,144,1,TN,,0
VIOTEK GNV27DB,,27,2560,1440,144,6,VA,,0
Dell S2721DGFA,,27,2560,1440,165,1,IPS,,0
Acer SB241Y Abi,159.99,23.8,1920,1080,75,VA,VA,,0
Acer Predator CG48 bmiiiipuzx,,48,3840,2160,138,0.01,OLED,,0
Samsung ViewFinity S70A,,27,3840,2160,60,5,IPS,,0
Lenovo L24e-20,,23.8,1920,1080,60,4,VA,,0
Planar PXN2410,89.99,23.8,1920,1080,60,6,IPS,,0
AOC PD34,,34,3440,1440,240,0.03,QD-OLED,,0
Asus VA24DQF,109,23.8,1920,1080,100,IPS,IPS,,0
Asus ROG Swift PG329Q,399,32,2560,1440,1,1,IPS,,0
Lenovo Y32p-30,839.99,31.5,3840,2160,144,IPS,IPS,,0
AOC AG274QG,,27,2560,1440,240,1,IPS,,0
LG 27UL850-W,469.99,27,3840,2160,60,5,IPS,,0
BenQ PD2700U,,27,3840,2160,60,5,IPS,,0
Asus ROG Strix XG27UQR,,27,3840,2160,144,IPS,IPS,,0
LG UltraFine,799.99,31.5,3840,2160,60,5,IPS,,0
Sceptre C248W-1920R,109.97,23.6,1920,1080,75,5,VA,,0
Samsung S33A,99.99,21.5,1920,1080,60,6.5,VA,,0
Asus VS228H-P,,21.5,1920,1080,5,5,16:9,,0
